Country Name,Country Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic general government health expenditure (% of current health expenditure),Domestic private health expenditure (% of current health expenditure),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),Gross capital formation (% of GDP),Imports of goods and services (% of GDP),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Manufacturing, value added (% of GDP)","Personal remittances, received (% of GDP)",Population density (people per sq. km of land area),"School enrollment, primary (% gross)","Self-employed, total (% of total employment) (modeled ILO estimate)","Services, value added (% of GDP)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Estonia,EST,2021,1.9220002136301095,7.49057293,5.70502901,76.16278839,23.82134056,79.54619178897414,20.30639490641403,7.154447483343972,30.47018334041195,80.84848983858211,78.856,13.046333573243338,1.5855590889965048,31.132912280701753,98.81466675,10.92634277,62.918670508617694,6.178
Fiji,FJI,2019,11.291159745277128,4.25136137,2.62435222,61.72969055,29.92794991,48.46090200819162,5.919520958467266,-0.581946371,19.64766333423284,58.950561814806846,60.13,10.376523155719134,5.263526419717731,50.07657361795293,111.4361572,32.69980656,54.13407586624523,4.373
Fiji,FJI,2020,14.32461472449634,4.76918268,3.10086608,65.01881409,29.35251427,27.82957330279907,5.400621800572394,-17.03866753,16.722345108849805,44.51400219688925,59.528,11.064710157830016,7.155285542887227,50.080076628352494,108.6897583,32.99667474,53.14643273087139,4.649
Fiji,FJI,2021,15.276480749424524,5.38085365,3.35674787,62.38318634,27.88793182,27.253328387921265,9.521290332258184,-4.881036056,21.730896744686422,54.47188056854749,59.772,11.402736017589374,9.143607587585846,50.17575259989053,110.8149653,32.17782793,53.267635180465625,4.701
Finland,FIN,2019,2.189771841118909,9.17,7.35,80.19,19.8,40.61831811435615,6.097077102493344,1.3497384382612267,24.567537879740733,39.94583218038051,77.947,14.712097200211304,0.3153239867988185,18.167360905471657,99.55574799,13.17674999,60.009307473649784,6.695
Finland,FIN,2020,2.240393930292275,9.63,7.83,81.33,18.66,36.21434342836112,-0.939114056,-2.49103621,24.983607389577266,35.97025217122769,78.079,14.523218281885214,0.2215296187742505,18.19287688359545,99.81758118,13.43761196,60.046026219715976,7.759
Finland,FIN,2021,2.1590744641507613,10.25,8.41,82.01,17.99,39.92177324693284,8.014062916772264,2.7347134858954263,24.776896978662503,39.867504944445336,78.692,14.94026466852117,0.2268193926675275,18.230165913412076,99.35363007,13.55813343,60.15902622565966,7.617
France,FRA,2019,1.4082848547253466,11.0888586,8.33430767,75.1590271,24.84062386,32.889559391084674,1.9648694330156151,2.0274464763963493,23.025073361360555,33.53941778306022,71.665,9.91095000638926,1.056405874478275,123.05944586590984,102.4476471,12.09295364,70.11016086296608,8.415
France,FRA,2020,1.460434265770403,12.13096142,9.31343365,76.77419281,23.22595406,28.557222819265455,0.7314717040185792,-7.44064593,22.804418213843544,30.281667904799264,71.091,9.245667103859324,1.1323477529450494,123.4594937148096,102.6516266,12.40446409,70.97701732002425,8.009
France,FRA,2021,1.4633454145789826,12.30787277,9.30704117,75.61846161,24.3813591,31.28804993321046,3.3040531222127094,6.882337865903551,23.44748457828056,32.500432697661495,73.009,9.095825158327871,1.100530300623829,123.90091077275972,102.5804062,12.61129356,70.67357260507276,7.874
